"","carspeeds$`Postal code`","average_speed","stdev_speed"
"128",3076,51.2638400821694,19.5482433080927
"129",3109,51.3344951949457,13.5640320134055
"130",3195,51.518035771511,11.1723048198712
"131",3151,51.5460701463732,9.66881468173349
"132",3033,51.6321536192167,15.7606489365712
"133",3034,51.6930487470794,6.77259679336438
"134",3027,51.8195503553,8.48289347588052
"135",3025,51.878270869151,17.5402635594116
"136",3199,51.8845478691115,18.2308497260397
"137",3135,51.9319148235433,9.84801782056108
"138",3138,51.97381544125,9.4765034889824
"139",3940,52.0594944057,8.00115558857273
"140",3190,52.1797880585962,11.3206202305821
"141",3102,52.2124447044394,20.4565499334145
"142",3129,52.5750741381833,18.485680176655
"143",3196,52.5785612520433,17.7540605349012
"144",3793,52.5943638788571,21.1115531362084
"145",3049,52.8773631405758,13.7833580069127
